name,address,openPrice,normalizedEPS,peratio,new PE ratio,netincome,operating_margin,net_profit_margin,aquirer multiple,normalized aquirer multiple,cash,assets,roe,new roe,roa,new roa,price/Sales,price/CF,long term debt/equity,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,compare
ComfortDelGro,https://www2.sgx.com/securities/equities/C52,2.66,0.13,19.015432950191574,20.461538461538463,303300000.0,11.532,9.429,0.053655015762155964,49.575980217606336,586100000.0,5136700000.0,11.594000000000001,0.05284892838473602,7.202000000000001,0.05904569081316799,1.547634943703117,7.672214559386974,18350000.0,-0.07200000000000001,2.49,1.4461055113468895
JMH USD,https://www2.sgx.com/securities/equities/J36,63.02,6.07,13.61046676051932,10.382207578253707,1732000000.0,10.224,10.589,0.030901731067872477,2039.3679519630487,5038000000.0,86258000000.0,6.6610000000000005,0.021095453272109422,5.332000000000001,0.0200792969927427,1.070850844041376,8.227200375410606,26850000.0,1.125,1.666,-3.228259182265612
CityDev,https://www2.sgx.com/securities/equities/C09,9.47,0.62,16.55356,15.274193548387098,544430000.0,21.421999999999997,15.649000000000001,0.04084316533593603,231.86253861837153,1953600000.0,20885690000.0,5.801,0.02893520179384114,3.283,0.026067130173817576,2.083688873046019,9.914322162162161,50480000.0,5.631,-4.51,-1.279366451612903
Wilmar Intl,https://www2.sgx.com/securities/equities/F34,3.7,0.27,15.13691056910569,13.703703703703704,1563990000.0,3.2439999999999998,2.8489999999999998,0.03126962486406923,118.32569198012777,3695720000.0,45679890000.0,7.205,0.06326930444178439,2.927,0.03423804216691415,0.38910040319915407,8.233252032520326,34420000.0,0.415,-2.426,-1.4332068654019867
Best World,https://www2.sgx.com/securities/equities/CGN,1.36,0.13,10.64236559139785,10.461538461538462,72890000.0,34.976,27.252,0.0842357074343299,16.145172177253396,206720000.0,288390000.0,48.074,0.10416130783960674,29.978,0.2527480148410139,2.1481364319574516,10.419354838709678,0.0,43.26,116.465,-0.18082712985938798
SIA,https://www2.sgx.com/securities/equities/C6L,9.27,0.75,16.681280040733196,12.36,661900000.0,6.3389999999999995,4.31,0.054166499587143084,171.13898942438436,2726100000.0,27549200000.0,6.5329999999999995,0.024841433664852693,2.58,0.024026106021227477,0.6478446901663756,5.205171079429734,21800000.0,0.8420000000000001,18.722,-4.321280040733196
Venture,https://www2.sgx.com/securities/equities/V03,16.29,1.27,11.628852043455769,12.826771653543306,370060000.0,12.425,10.621,0.07621161976979585,213.7469332000216,712830000.0,3204600000.0,16.39,0.07995315936618227,11.658,0.11547775073332085,1.1348938316157229,11.704697878944646,0.0,7.193,21.703,1.1979196100875367
ThaiBev,https://www2.sgx.com/securities/equities/Y92,0.83,0.04,21.485288343558285,20.75,982320000.0,9.774,9.812,0.03308595436703476,25.086173751934197,22529720000.0,417941610000.0,14.839,0.002273218447309325,6.095,0.0023503761685753186,1.9664336632918067,15.764907975460124,179220000.0,0.0,0.0,-0.7352883435582847
SPH,https://www2.sgx.com/securities/equities/T39,2.44,0.19,14.400979591836736,12.842105263157894,266100000.00000003,21.74,31.287,0.05238395212409938,46.57915069522735,481160000.0,6196690000.0,8.083,0.05251928766398709,4.737,0.04294228047554421,4.051721116201582,11.538710204081632,37860000.0,-4.525,-8.177,-1.5588743286788418
DairyFarm USD,https://www2.sgx.com/securities/equities/D01,7.15,0.16,104.4526874205845,44.6875,92000000.0,0.672,0.66,0.008135394181955165,878.8756684782609,296200000.0,5389600000.0,5.865,0.01861669836901534,1.43,0.017069912423927563,0.7420314465205717,31.29465057179161,1000000.0,2.548,-28.75,-59.765187420584496
ST Engineering,https://www2.sgx.com/securities/equities/S63,4.14,0.16,26.254232558139535,25.874999999999996,494240000.0,8.514,7.71,0.04062796444231082,101.90025655551958,414820000.0,7573020000.0,22.156,0.062496680685764,6.622,0.06526326353291025,2.064501892915089,16.99860465116279,12040000.0,0.038,-3.328,-0.37923255813953816
HongkongLand USD,https://www2.sgx.com/securities/equities/H78,6.44,1.05,6.118904494382022,6.133333333333334,2457100000.0,87.484,92.185,0.12149973124779645,53.00423246917098,1286800000.0,44963000000.0,6.5360000000000005,0.05756219837885958,5.597,0.054647154326891,5.086190411564196,6.089960674157303,10810000.0,7.595,15.721,0.01442883895131164
Sembcorp Ind,https://www2.sgx.com/securities/equities/U96,2.41,0.18,12.388106227106228,13.388888888888891,347000000.0,3.575,2.84,0.025417055796663552,94.81822046109511,1924000000.0,23321000000.0,5.0539999999999985,0.020988326377547935,1.411,0.014879293340765834,0.3226332568530371,4.616959706959708,130669999.99999999,1.639,-15.691,1.0007826617826634
Hi-P,https://www2.sgx.com/securities/equities/H17,1.39,0.12,11.02260544217687,11.583333333333332,100950000.0,8.878,7.198,0.08571428571428572,16.216666666666665,286650000.0,1224680000.0,18.48,0.06197624090616079,8.059,0.08242969592056701,0.8261652089407191,7.227054421768707,0.0,2.472,74.225,0.5607278911564624
SATS,https://www2.sgx.com/securities/equities/S58,5.22,0.22,22.157552581261946,23.727272727272727,263870000.0,13.611,15.35,0.04692523829847774,111.24077765566376,373280000.0,2348360000.0,16.152,0.09112980653004275,12.001,0.11236352177689962,3.296358177743493,16.550294455066922,5890000.0,-1.175,5.22,1.5697201460107806
AEM,https://www2.sgx.com/securities/equities/AWX,1.03,0.12,8.301422018348624,8.583333333333334,33490000.000000004,16.72,12.767,0.14158281897353514,7.27489399820842,58890000.0,136430000.0,45.472,0.13187635361291594,26.466,0.2454738693835667,1.0045555929635552,7.887532110091743,50000.0,41.033,47.779,0.28191131498470945
Yanlord Land,https://www2.sgx.com/securities/equities/Z25,1.29,0.37,3.406112582781457,3.4864864864864864,716570000.0,42.356,21.679,0.07760638292111564,16.622344083620582,10317370000.0,106680780000.0,14.843,0.006476153499036173,5.069,0.006716955012889857,0.4181962633217841,2.222046357615894,133590000.0,17.687,19.629,0.08037390370502928
First Resources,https://www2.sgx.com/securities/equities/EB5,1.59,0.1,15.59928260869565,15.9,162730000.0,29.543,20.156,0.04814582507381788,33.024670312788054,55360000.0,1571040000.0,12.605,0.137348075624578,7.734,0.1035810673184642,2.5537872164461244,9.60308152173913,37640000.0,0.222,-12.818,0.3007173913043495
TheHourGlass,https://www2.sgx.com/securities/equities/AGS,0.765,0.07,8.862927631578946,10.928571428571427,64060000.0,10.89,9.099,0.147886511069557,5.172885576022479,180500000.0,626080000.0,10.109,0.06804397471984705,10.451,0.10231919243547151,0.798402527700831,7.863394736842105,0.0,2.818,-1.172,2.0656437969924806
Olam Intl,https://www2.sgx.com/securities/equities/O32,1.97,0.07,21.227507692307693,28.14285714285714,292390000.0,2.843,1.06,0.01945445811093679,101.26213687198603,2486430000.0,23446820000.0,4.58,0.017053563669301195,1.413,0.01247034779129963,0.20922669296515448,8.814487179487179,102620000.0,0.0,0.0,6.915349450549446
SingPost,https://www2.sgx.com/securities/equities/S08,0.95,0.05,22.294855769230768,18.999999999999996,103140000.0,10.749,8.132,0.044517340354360446,21.339999030444055,315970000.0,2684140000.0,6.537000000000001,0.03369421050224432,4.569,0.03842571549919155,1.3066891642011835,11.9225,12930000.0,13.108,-5.242,-3.2948557692307716
Frencken,https://www2.sgx.com/securities/equities/E28,0.655,0.08,9.15286923076923,8.1875,30030000.0,6.418,4.85,0.1092,5.998168498168498,67080000.0,463740000.0,11.728,0.056746031746031746,6.867,0.0647561133393712,0.4437489349112426,5.90406923076923,460000.0,5.91,9.894,-0.9653692307692303
JSH USD,https://www2.sgx.com/securities/equities/J37,38.13,4.27,11.829071447902571,8.929742388758784,1836000000.0,11.97,12.747,0.03655692686065997,1043.0307816993463,4640000000.0,85043000000.0,5.916,0.0228267356276109,5.232,0.021589078466187694,1.2799977102510252,7.857153450608932,22110000.0,2.273,2.974,-2.8993290591437866
Japfa,https://www2.sgx.com/securities/equities/UD2,0.53,0.08,0.0,6.625,0.0,0.0,0.0,0.0,0.0,166700000.0,2889270000.0,13.630999999999998,0.0,0.0,0.0,0.0,0.0,99750000.0,1.294,14.361,6.625
China Everbright,https://www2.sgx.com/securities/equities/U9E,0.335,0.04,7.996226666666668,8.375,116920000.0,27.783,15.451,0.05893293681796416,5.684427386247007,2253920000.0,19584390000.0,8.541,0.005589473890531024,3.916,0.005970060849482674,1.0262851555555559,6.632106666666668,68150000.0,0.0,0.0,0.3787733333333323
InnoTek,https://www2.sgx.com/securities/equities/M14,0.52,0.1,6.2192,5.2,20240000.0,10.694,9.271,0.24035150219688872,2.163498023715415,60140000.0,223560000.0,14.271,0.05887486183024027,9.361,0.09053497942386832,0.590857520661157,5.392872727272727,20000.0,-2.688,84.804,-1.0191999999999997
Frasers Property,https://www2.sgx.com/securities/equities/TQ5,1.87,0.28,7.253837696335079,6.678571428571428,741470000.0,21.561,27.332,0.04165468191726029,44.892912727419855,2585190000.0,32420940000.0,7.447999999999999,0.032610736953308246,4.179,0.022870095685072672,1.1243835695293443,4.292188481675393,130669999.99999999,-11.634,-24.743,-0.5752662677636513
SingMedical,https://www2.sgx.com/securities/equities/5OT,0.385,0.03,14.102468085106384,12.833333333333334,12930000.0,17.807,15.182,0.05776189412553049,6.665293890177881,20010000.0,181790000.0,10.816,0.06341654813870225,7.392,0.07112602453380273,1.7821892258940697,10.965946808510639,8950000.0,4.016,0.0,-1.2691347517730502
China Sunsine,https://www2.sgx.com/securities/equities/CH8,1.14,0.26,4.3216363636363635,4.384615384615384,129620000.0,21.671,19.53,0.0,0.0,1038599999.9999999,2747300000.0,31.53,0.03243857392401135,26.306,0.047180868489061986,0.7953292807868315,3.7516363636363637,0.0,12.888,51.243,0.06297902097902064
StarHub,https://www2.sgx.com/securities/equities/CC3,1.54,0.11,13.78954248366013,14.0,201700000.0,11.579,8.493,0.057391952606823865,26.833030242935052,166000000.0,2635500000.0,35.712,0.10402269210933471,7.611,0.07653196736862075,1.1377277115639284,5.42724183006536,185270000.0,-0.142,-12.644,0.2104575163398703
Valuetronics,https://www2.sgx.com/securities/equities/BN2,0.685,0.08,8.434434782608697,8.5625,34680000.0,7.996,7.182,0.1916127962870877,3.574917820069204,671090000.0,1968760000.0,20.468,0.012518409425625921,9.594,0.01761514862146732,0.6061192501575301,6.992956521739131,0.0,3.586,9.811,0.1280652173913026
Hong Fok,https://www2.sgx.com/securities/equities/H30,0.845,0.27,0.0,3.1296296296296293,0.0,0.0,0.0,0.0,0.0,68200000.0,3379950000.0,10.478,0.0,0.0,0.0,0.0,0.0,34500000.0,-11.044,-8.867,3.1296296296296293
Citic Envirotech,https://www2.sgx.com/securities/equities/CEE,0.305,0.04,9.719780219780219,7.625,75520000.0,19.925,11.381,0.03581744108287052,8.515404528601694,376520000.0,3786760000.0,5.37,0.02392834171395619,3.204,0.019943170414813718,0.49742144668518284,4.849835164835165,85040000.0,0.0,0.0,-2.094780219780219
Koufu,https://www2.sgx.com/securities/equities/VL6,0.69,0.05,14.474474999999998,13.799999999999999,24510000.0,12.976,10.935,0.06944719916130677,9.935605875152998,95980000.0,159700000.0,36.478,0.0706584409594096,0.0,0.15347526612398246,1.4759099999999998,10.687237499999998,4770000.0,0.0,0.0,-0.6744749999999993
Bumitama Agri,https://www2.sgx.com/securities/equities/P8Z,0.63,0.06,10.39543448275862,10.5,105970000.0,21.619,15.455,0.060620448603904836,10.392532792299708,299053000000.0,16538804000000.0,14.416,6.2937340462238425e-06,8.14,6.407355695127653e-06,1.1870188822829966,6.204413793103448,12030000.0,15.671,5.181,0.10456551724137952
GL,https://www2.sgx.com/securities/equities/B16,0.79,0.07,12.549150000000001,11.285714285714285,98180000.0,30.545,20.639,0.0735094825585313,10.746912813200245,105400000.0,1455600000.0,6.579,0.0715691563033051,5.106,0.0674498488595768,2.3228221875000004,8.628775,23200000.0,-1.673,10.309,-1.2634357142857162
United Engineers,https://www2.sgx.com/securities/equities/U04,2.58,0.09,29.419138339920952,28.666666666666668,55690000.0,14.67,14.136,0.0227576427511861,113.36850781109716,251250000.0,3621670000.0,2.911,0.018346477963801202,1.521,0.015376884144607321,4.462280679279478,24.53753359683795,37800000.0,-29.476,-13.573,-0.7524716732542842
Sheng Siong,https://www2.sgx.com/securities/equities/OV8,1.1,0.05,23.35457142857143,22.0,70800000.0,9.404,7.916,0.047469627484109746,23.17271186440678,87230000.0,436340000.0,25.244,0.11591355599214145,16.794,0.16225878901773846,1.944780045351474,19.013238095238098,0.0,3.587,10.862,-1.354571428571429
UIC,https://www2.sgx.com/securities/equities/U06,2.94,0.22,13.626177049180328,13.363636363636363,313370000.0,57.952,51.677,0.06750172324659659,43.55444362893704,247890000.0,8421650000.0,4.704,0.03700642065000077,4.07,0.03721004791222623,6.2811863477559795,11.805304918032787,4520000.0,0.738,-0.927,-0.26254068554396426
APAC Realty,https://www2.sgx.com/securities/equities/CLN,0.53,0.07,7.645046153846153,7.571428571428571,24240000.0,7.006,5.773,0.10023984782069308,5.287318481848185,43020000.0,283200000.0,17.563,0.07776209418709099,9.339,0.08559322033898305,0.3596849704142012,7.2185999999999995,38180000.0,0.0,0.0,-0.0736175824175822
Chip Eng Seng,https://www2.sgx.com/securities/equities/C29,0.72,0.12,7.254,6.0,63120000.0,9.076,7.429,0.031519182658457295,22.8432319391635,342560000.0,3004840000.0,7.85,0.033595554656646195,2.797,0.02100611014230375,0.4001399999999999,4.6008,214030000.0,16.993,-2.591,-1.2539999999999996
Oxley,https://www2.sgx.com/securities/equities/5UX,0.33,0.07,5.995000000000001,4.714285714285714,221560000.0,30.301,22.133,0.049853405426811846,6.619407384004333,254980000.0,5995490000.0,22.980999999999998,0.083974181615582,3.999,0.03695444409047467,1.5028200000000003,5.6254,223840000.0,19.802,31.398,-1.2807142857142866
GuocoLand,https://www2.sgx.com/securities/equities/F17,2.0,0.34,11.728205128205131,5.88235294117647,192540000.0,34.083,30.669,0.030169462311675898,66.29219902357951,884930000.0,10499240000.0,9.624,0.024158092848180678,2.359,0.01833847021308209,3.3367521367521378,9.854358974358977,77770000.0,11.327,56.611,-5.845852187028661
Ho Bee Land,https://www2.sgx.com/securities/equities/H13,2.38,0.41,5.865335968379447,5.804878048780488,270040000.0,133.598,137.402,0.06633341112025448,35.87935491038365,176320000.0,5970840000.0,8.422,0.07003747746813119,5.109,0.04522646729773365,7.999840022496836,6.172948616600791,62930000.0,7.521,-14.135,-0.06045791959895919
PEC,https://www2.sgx.com/securities/equities/IX2,0.595,0.03,13.19948,19.833333333333332,11740000.0,4.585,3.417,0.13964553348400144,4.260787904599659,86800000.0,345860000.0,4.56,0.023604632459385554,3.657,0.03394437055455965,0.382460288,6.0823279999999995,3350000.0,-9.29,-3.357,6.633853333333333
Fu Yu,https://www2.sgx.com/securities/equities/F13,0.205,0.01,12.681395348837208,20.5,11890000.0,8.458,6.17,0.15339956134692298,1.3363793103448274,80610000.0,211590000.0,7.216,0.031613091914599455,5.448,0.056193581927312254,0.7273120605732827,7.85960465116279,0.0,-7.478,11.712,7.818604651162792
UMS,https://www2.sgx.com/securities/equities/558,0.63,0.08,7.846125000000001,7.875,43070000.0,34.877,33.339,0.10975485449263545,5.740065010448108,18930000.0,275030000.0,19.416,0.1496681377488967,15.969,0.1566010980620296,2.311421875,6.993,1500000.0,1.232,8.349,0.028874999999999318
China Aviation,https://www2.sgx.com/securities/equities/G92,1.32,0.15,8.822301369863013,8.8,127280000.0,0.16,0.455,0.16625738021840222,7.939497171590195,357690000.0,1653570000.0,12.599,0.050987052941930525,5.268,0.07697285267633061,0.03678363670482267,8.796986301369865,0.0,5.776,5.983,-0.0223013698630119
OUE,https://www2.sgx.com/securities/equities/LJ3,1.5,0.02,0.0,75.0,10020000.0,17.927,8.808,0.0021018539106649158,713.6556886227545,437030000.0,9265820000.0,0.252,0.0015063478581146597,0.619,0.0010813937676320067,1.974583828775268,23.106896551724137,76800000.0,7.02,0.0,75.0
Riverstone,https://www2.sgx.com/securities/equities/AP4,0.98,0.06,16.962749999999996,16.333333333333332,42470000.0,16.402,14.08,0.05312070043777361,18.44855191900165,97010000.0,872860000.0,19.333,0.042679556623019026,15.708,0.048656141878422654,2.0932187499999997,12.886999999999999,1830000.0,20.239,16.918,-0.6294166666666641
Sunningdale Tech,https://www2.sgx.com/securities/equities/BHQ,1.38,0.1,8.80831343283582,13.799999999999999,29760000.0,5.195,4.094,0.10839950462591973,12.730685483870966,88750000.0,714430000.0,7.963,0.03804653541293787,4.256,0.04165558557171451,0.370146803296948,4.317134328358208,6150000.0,4.319,12.023,4.991686567164178
CSE Global,https://www2.sgx.com/securities/equities/544,0.485,0.04,12.397346153846152,12.125,20110000.0,6.669,5.16,0.08714681920610158,5.5653207359522625,74050000.0,269080000.0,11.649,0.05282097079218323,7.031,0.07473613795153858,0.6193794378698224,9.172096153846153,190000.0,-1.962,42.805,-0.27234615384615246
Tianjin ZX USD,https://www2.sgx.com/securities/equities/T14,0.92,0.73,20.98671844660194,1.2602739726027399,561680000.0,10.113,8.929,0.05684652006347767,16.183928215353937,1508370000.0,7105310000.0,11.946,0.05697898184865186,8.273,0.07905073810994875,1.396173060608917,0.0,0.0,0.329,8.936,-19.7264444739992
Sarine Tech,https://www2.sgx.com/securities/equities/U77,0.31,0.03,10.217172413793104,10.333333333333334,10310000.0,17.103,12.994,0.0,0.0,28850000.0,75910000.0,11.149,0.07165195635554938,9.729,0.13581873270978792,0.9532551195666535,6.9525517241379315,0.0,-5.346,-20.6,0.11616091954022956
F & N,https://www2.sgx.com/securities/equities/F99,1.71,0.08,18.472596774193548,21.375,134940000.0,7.028,10.068,0.044443127025531576,38.47614050689195,530130000.0,4490750000.0,4.335,0.028801639221796526,4.196,0.030048432889829092,1.180763007284079,9.805838709677419,17630000.0,-3.561,0.0,2.9024032258064523
Asian Healthcare,https://www2.sgx.com/securities/equities/1J3,0.245,0.01,26.0807037037037,24.5,2450000.0,27.018,22.572,0.033406053995091355,7.334,13020000.0,14650000.0,32.563,0.060211354141066604,0.0,0.16723549488054607,6.5459362139917685,31.283777777777775,0.0,0.0,0.0,-1.5807037037037013
SIA Engineering,https://www2.sgx.com/securities/equities/S59,2.51,0.15,16.75676,16.733333333333334,166550000.0,7.053,16.141,0.07210112773003745,34.81221555088562,499780000.0,1818590000.0,12.069,0.06013786031262299,9.419,0.09158193985450266,2.698458832,12.53996,1160000.0,-1.094,-7.544,-0.023426666666665596
Raffles Medical,https://www2.sgx.com/securities/equities/BSL,1.04,0.04,26.182962962962964,26.0,71060000.0,17.221,14.475,0.036297881687090396,28.65180973824937,105980000.0,1116290000.0,9.261,0.05864197530864197,6.673,0.06365729335566922,3.691572016460905,21.05037037037037,12140000.0,6.031,-4.801,-0.18296296296296433
Far East Orchard,https://www2.sgx.com/securities/equities/O10,1.19,0.08,15.533218749999996,14.874999999999998,32939999.999999996,23.63,22.164,0.05544147843942505,21.464074074074073,256290000.00000003,2145360000.0000002,2.625,0.01394132285970644,1.58,0.015354066450385945,3.179829040527343,11.027953124999998,6870000.0,-3.141,0.081,-0.6582187499999979
SIIC Environment,https://www2.sgx.com/securities/equities/BHK,0.275,0.04,6.761615384615384,6.875,109210000.0,27.548,12.878,0.0353328652912268,7.783121966852853,2136290000.0,29718750000.0,7.035,0.003684929579413252,2.472,0.0036747844374342797,0.5820887573964496,3.6469230769230765,110890000.0,13.271,8.935,0.11338461538461608
Bukit Sembawang,https://www2.sgx.com/securities/equities/B61,5.77,0.21,11.062728395061727,27.476190476190474,134320000.0,47.627,40.191,0.09967941106625505,57.88557474687313,112740000.0,1326580000.0,4.384,0.09612549558446763,9.524,0.10125284566328453,4.5244683363972005,11.0545873015873,0.0,-22.66,-13.564,16.41346208112875
Hong Leong Fin,https://www2.sgx.com/securities/equities/S41,2.72,0.26,10.258285714285716,10.461538461538462,118340000.0,62.322,51.889,-0.6213378137141657,-4.377650836572587,0.0,13381260000.0,6.545,0.0,0.913,0.008843711279804743,5.1798236734693885,10.108685714285716,0.0,6.509,10.864,0.2032527472527459
ISDN,https://www2.sgx.com/securities/equities/I07,0.235,0.03,8.287326086956522,7.833333333333333,10950000.0,8.067,5.49,0.13424052960647298,1.7505890410958902,41880000.0,283100000.0,7.808,0.03236867776168376,6.373,0.038678912045213704,0.3278005671077504,5.173065217391303,8390000.0,10.058,16.413,-0.45399275362318914
Straits Trading,https://www2.sgx.com/securities/equities/S20,2.24,0.18,12.776035874439462,12.444444444444446,71720000.0,0.445,18.13,0.048297922488972696,46.378806469604015,293640000.0,2576330000.0,4.871,0.031194136963660482,3.3,0.027838048697177768,2.023022381306682,10.283910313901345,42070000.0,-7.815,-13.279,-0.3315914299950151
KSH,https://www2.sgx.com/securities/equities/ER0,0.41,0.05,9.076654545454545,8.2,25510000.0,12.901,14.596,0.06660226620019842,6.1559466875735005,50370000.0,580300000.0,8.938,0.04391234744289329,4.533,0.04396002067895916,0.9674780165289254,8.314799999999998,17650000.0,-11.982,-5.593,-0.8766545454545458
Sunpower,https://www2.sgx.com/securities/equities/5GD,0.485,0.06,15.479205607476633,8.083333333333334,64800000.0,12.123,10.192,0.09325619549261721,5.200726851851852,782580000.0,6623450000.0,22.479,0.009066195821435117,5.722,0.009783421026806271,0.5169238361428945,4.289757009345794,98680000.0,-5.391,12.5,-7.395872274143299
IFAST,https://www2.sgx.com/securities/equities/AIY,1.08,0.04,26.819052631578952,27.0,10910000.0,9.076,8.816,0.042288460793054,25.538881759853346,85420000.0,157980000.0,13.086,0.037433522044947674,7.782,0.0690593746043803,2.2653074792243775,17.81147368421053,10000.0,5.856,-0.384,0.18094736842104808
Wing Tai,https://www2.sgx.com/securities/equities/W05,2.07,0.26,7.2429804878048785,7.961538461538461,216210000.0,11.555,59.914,0.13449826752844427,15.390532815318439,792150000.0,4531710000.0,6.462,0.04022885849846498,5.067,0.04771046690984198,4.462821487209994,7.132917073170732,22430000.0,-22.708,-16.467,0.7185579737335823
HRnetGroup,https://www2.sgx.com/securities/equities/CHZ,0.7,0.05,14.74578616352201,13.999999999999998,48180000.0,15.209,12.234,0.09548724656638326,7.330821917808219,299500000.0,415310000.0,14.919,0.047575787498765676,13.258,0.11600972767330428,1.4552114235987499,13.256855345911948,0.0,0.0,0.0,-0.7457861635220127
Penguin Intl,https://www2.sgx.com/securities/equities/BTM,0.455,0.04,7.288666666666668,11.375,13580000.0,14.447,12.662,0.2725265904073851,1.6695618556701033,42620000.0,206750000.0,9.239,0.04668110412154962,7.058,0.065683192261185,0.999916666666667,4.404833333333333,50000.0,-0.556,-3.781,4.086333333333332
QAF,https://www2.sgx.com/securities/equities/Q01,0.73,0.02,51.674552941176465,36.5,8130000.000000001,0.851,1.063,0.015142766674737844,48.20783517835178,64940000.0,783630000.0,1.551,0.01011772904895836,1.079,0.010374794226867273,0.44549702422145326,9.749364705882353,10280000.0,-5.616,-23.999,-15.174552941176465
Haw Par,https://www2.sgx.com/securities/equities/H02,14.12,0.81,17.512937728937725,17.432098765432098,179070000.0,80.31,75.298,0.07025796959293772,200.97364159267323,519429999.99999994,3030450000.0,5.963,0.04425568302580655,5.689,0.059090234123645,13.700920809886082,16.99158388278388,0.0,10.769,10.436,-0.08083896350562725
Lian Beng,https://www2.sgx.com/securities/equities/L03,0.47,0.11,4.128971962616822,4.2727272727272725,56890000.0,24.173,18.942,0.07828001375988992,6.004086834241518,202220000.0,1748640000.0,8.811,0.036869017452674284,3.705,0.032533854881507916,0.6853321687483621,3.2689158878504667,48210000.0,-12.552,-4.608,0.14375531011045073
Uni-Asia Grp,https://www2.sgx.com/securities/equities/CHJ,0.765,0.03,21.53928813559322,25.5,1670000.0,10.291,3.402,0.007086781243369404,107.94745508982035,52670000.0,334220000.0,0.966,0.007831551303695367,1.113,0.004996708754712465,0.16685889471416263,2.066148305084746,87650000.0,9.298,-25.694,3.960711864406779
