names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Kimly,0.190,0.192 - 0.190,0.191,mar_26_2020,219.98M,1.15B,-,8.36M,0.02,-,SGD 0.22838,SGD 0.22838,10.793385416666666,1.0341145833333334,9.192239583333333,2.484,7.368,-,-87.14M,0.023,132.84M,121.04M,87.19M,23.388,16.947,-5.13M,-,208.30M,23.94M,11.495,20.05M,9.627,6.969,14.042,26.00M,Cyclical Consumer Services / Restaurants & Bars / 
Avi-Tech,0.330,0.325 - 0.310,0.320,mar_26_2020,54.31M,171.05M,-,7.20M,0.03,-,SGD 0.39746,SGD 0.39746,9.20803125,1.7121972656250002,7.683843749999999,1.059,6.452,6.065,-34.42M,0.083,19.89M,56.63M,34.49M,9.478,10.695,-0.77M,-,33.72M,5.72M,21.501,5.94M,17.611,7.900,-,9.03M,Technology Equipment / Semiconductor Equipment & Testing / 
Uni-Asia Grp,0.420,0.390 - 0.370,0.390,mar_26_2020,29.87M,78.60M,-,1.52M,0.02,-,SGD 0.68234,SGD 0.68014,7.673842105263158,0.20034349030470916,0.7206315789473685,0.166,11.053,4.429,526.83M,87.651,215.43M,334.22M,52.67M,0.966,1.142,-1.30M,-,181.98M,11.86M,13.780,4.33M,4.095,9.298,-25.696,43.25M,Real Estate / Real Estate Development & Operations / 
JCG W201029,0.001,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Dutech,0.210,0.210 - 0.194,0.200,mar_26_2020,71.31M,356.54M,-,0.77M,0.06,-,SGD 0.24894,SGD 0.24946,4.776958762886598,0.2167738335636093,2.5697938144329893,0.352,5.000,-,-55.91M,6.569,15.40M,"1,653.01M",468.48M,8.257,4.948,-51.96M,-,384.42M,123.47M,6.560,16.16M,4.203,12.362,-11.392,45.42M,Technology Equipment / Communications & Networking / 
PanUnited,0.290,0.305 - 0.275,0.305,mar_26_2020,186.03M,700.89M,-,4.45M,0.03,-,SGD 0.35223,SGD 0.35184,9.537309090909089,0.26911999999999997,4.366872727272726,0.918,6.038,5.965,79.49M,31.974,265.52M,442.10M,49.65M,10.415,4.845,-4.78M,-,768.26M,30.37M,3.953,20.51M,2.724,-2.694,-11.315,55.37M,Mineral Resources / Construction Materials / 
DLC SG5xLongHSI200714,0.535,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Biolidics,0.196,0.200 - 0.194,0.196,mar_26_2020,48.26M,242.50M,-,3.62M,-0.02,-,SGD 0.23355,SGD 0.23355,-,32.230063599999994,-,6.214,-,-,-5.49M,5.112,42.76M,9.62M,6.03M,-47.332,-40.395,-0.69M,-,1.44M,-4.80M,-334.075,-4.81M,-334.492,-,-,-4.08M,Healthcare Services / Advanced Medical Equipment & Technology / 
DLC SG5xLong AAC,0.032,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Raffles Edu,0.072,0.070 - 0.065,0.070,mar_26_2020,100.63M,1.38B,-,4.14M,0.02,-,SGD 0.07966,SGD 0.07966,1.573411764705882,1.1143806228373703,1.3383529411764703,0.151,-,-,271.93M,40.435,445.90M,"1,241.84M",34.81M,6.401,5.416,-49.37M,-,101.29M,44.92M,62.485,63.99M,64.126,-8.404,-9.868,22.39M,Industrial & Commercial Services / Business Support Services / 
Healthway Med,0.023,0.023 - 0.021,0.022,mar_26_2020,95.10M,4.51B,-,274.62M,-0.00,-,SGD 0.03726,SGD 0.03726,-,0.9093553719008263,12.503636363636364,0.535,-,-,-3.18M,7.071,91.93M,220.94M,24.51M,-1.644,-1.382,-5.29M,-,114.25M,-1.81M,-1.583,-2.94M,-2.573,-7.410,-,9.25M,Healthcare Services / Healthcare Facilities & Services / 
NeraTel,0.180,0.175 - 0.165,0.175,mar_26_2020,59.71M,361.90M,-,1.34M,0.01,-,SGD 0.24928,SGD 0.24928,14.912727272727274,0.4926942148760331,10.551272727272728,0.930,6.061,6.119,8.15M,6.233,67.86M,156.06M,13.00M,6.679,2.779,-0.97M,-,144.39M,5.27M,3.651,4.37M,3.027,-4.567,-23.073,7.57M,Technology Equipment / Communications & Networking / 
Hanwell,0.167,0.158 - 0.152,0.158,mar_26_2020,87.93M,553.42M,-,4.42M,0.01,-,SGD 0.21761,SGD 0.21761,15.522210526315792,0.23055743594182831,3.6366447368421055,0.322,6.494,1.909,-55.59M,12.053,32.35M,488.26M,133.11M,2.193,2.233,-13.61M,-,461.11M,18.56M,4.025,6.06M,2.567,2.030,19.948,33.60M,Applied Resources / Paper Packaging / 
Ellipsiz,0.260,0.275 - 0.255,0.270,mar_26_2020,43.45M,167.13M,-,0.86M,-0.00,-,SGD 0.37388,SGD 0.37166,-,0.9304421376393693,-,0.428,5.769,5.687,-70.49M,-,-32.01M,130.27M,75.47M,-0.427,-10.151,-0.93M,-,48.54M,2.24M,-21.735,-12.77M,-26.345,-19.191,-,-10.03M,Technology Equipment / Semiconductor Equipment & Testing / 
Jumbo,0.205,0.199 - 0.194,0.198,mar_26_2020,123.87M,641.83M,-,7.50M,0.02,-,SGD 0.33684,SGD 0.33684,11.180953608247421,0.899993357423743,8.034097938144328,1.802,6.218,-,-47.01M,-,76.87M,90.33M,47.01M,17.400,12.177,-6.13M,-,153.63M,14.78M,9.617,11.67M,7.066,-0.164,-5.972,20.48M,Cyclical Consumer Services / Restaurants & Bars / 
OCBC Bk MB ePW200701,0.215,-,-,mar_26_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
