name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
Singapore-eDev,0.024,0.040,-,30 Jun 2019,44.18M,1.10B,23.69%,-0.01,1.47M,SGD 0.03361,SGD 0.03361,-,0.6904426588750915,-,1.225,-,-,11.17M,6.12M,55.35M,68.17M,3.12M,-18.692,-10.676,-0.01M,-,26.92M,-7.28M,-27.056,-7.41M,-29.879,-,-,-
Banyan Tree,0.495,0.575,-,30 Jun 2019,483.78M,839.36M,56.67%,-0.01,4.79M,SGD 0.56798,SGD 0.56529,38.46193043478261,1.0894117202268432,11.329904347826087,0.747,1.739,-,339.55M,51.16M,823.34M,"1,633.80M",206.18M,2.161,0.869,-27.54M,-,329.05M,60.77M,18.468,13.47M,4.374,-3.488,-7.615,-
Aspial,0.187,0.180,-,30 Jun 2019,350.26M,1.94B,14.29%,0.01,1.57M,SGD 0.20514,SGD 0.20952,-,-,-,1.130,2.083,2.859,997.88M,197.56M,"1,348.14M","1,672.43M",155.99M,8.783,-,-20.61M,-,-,28.78M,-,-,-,8.427,-18.446,-
Nordic,0.305,0.320,-,30 Jun 2019,128.00M,392.52M,20.68%,0.03,1.06M,SGD 0.37345,SGD 0.3732,10.582546875,1.2681923828125,8.653421875000001,1.551,5.163,3.471,1.57M,7.18M,129.57M,151.86M,39.23M,14.371,7.472,-10.39M,-,91.69M,12.16M,13.259,11.33M,12.353,7.105,13.561,-
Hong Lai Huat,0.210,0.260,-,30 Jun 2019,57.70M,221.93M,53.23%,0.04,5.91M,SGD 0.23123,SGD 0.23128,5.984588235294118,1.1258131487889271,4.121764705882352,0.421,-,-,-23.36M,1.59M,34.34M,160.14M,26.33M,5.998,4.920,-0.45M,-,34.76M,6.22M,17.887,7.94M,22.843,36.350,-,-
CDW,0.190,0.173,-,30 Jun 2019,43.74M,227.81M,43.64%,-0.01,0.91M,SGD 0.18089,SGD 0.18089,35.8364161849711,0.43060910822279397,16.355375722543354,0.507,8.616,7.673,-39.58M,0.99M,4.16M,88.93M,37.67M,1.517,0.884,-2.20M,-,122.38M,3.23M,3.578,1.22M,0.869,-11.902,-39.384,-
China Star Food,0.034,0.035,-,30 Jun 2019,10.39M,296.91M,43.02%,0.01,12.86M,SGD 0.03075,SGD 0.03075,0.9829090909090908,0.1369366391184573,0.8036363636363636,0.119,-,-,-20.66M,-,-10.65M,449.58M,126.58M,3.347,10.815,-10.09M,-,80.71M,16.43M,16.152,10.34M,12.817,-,-,-
G K Goh,0.850,0.890,-,30 Jun 2019,289.08M,324.81M,29.13%,-0.01,0.17M,SGD 0.89865,SGD 0.89865,-,2.9233840424188866,118.69724719101124,0.667,3.371,3.630,102.11M,17.40M,391.19M,668.63M,65.79M,-0.969,-0.539,-9.85M,-,90.18M,-4.52M,-5.015,-4.38M,-4.093,16.906,-,-
Spura Finance,0.895,0.950,-,30 Jun 2019,150.75M,158.69M,39.77%,0.05,0.39M,SGD 0.91553,SGD 0.91553,18.799811827956987,6.5543460804717295,17.07044086021505,0.585,2.105,-,-115.52M,-,103.74M,996.93M,-,3.018,0.745,-0.83M,-,27.77M,-,42.191,7.72M,36.228,-,-,-
Sanli Env,0.190,0.184,-,30 Jun 2019,49.43M,268.66M,22.57%,0.02,0.52M,SGD 0.19225,SGD 0.19225,11.828555555555555,0.6919166666666666,10.621,1.895,1.359,-,-5.67M,11.22M,43.23M,49.28M,9.35M,18.390,9.713,-5.43M,-,79.58M,4.08M,6.201,4.18M,5.210,-,-,-
Global Palm Res,0.205,0.210,-,30 Jun 2019,43.60M,196.27M,19.92%,-0.01,0.12M,SGD 0.19335,SGD 0.19335,-,1.2702794784580498,33.584857142857146,0.675,4.762,-,-28.09M,-,15.51M,"724,741.62M","290,829.13M",-1.157,-1.014,"-27,214.41M",-,32.70M,"-4,462.85M",-1.318,-0.71M,-2.218,0.721,-,-
Secura,0.062,0.069,-,30 Jun 2019,27.60M,400.00M,39.43%,0.01,1.16M,SGD 0.07217,SGD 0.07217,13.276086956521738,0.5401461877756772,5.9573913043478255,0.600,4.348,-,-2.85M,21.90M,24.75M,64.27M,13.85M,4.144,2.910,-0.33M,-,41.23M,1.95M,4.725,1.87M,4.516,35.302,27.244,-
Tiong Woon,0.365,0.275,-,30 Jun 2019,63.86M,232.24M,53.91%,0.00,0.93M,SGD 0.28433,SGD 0.28433,19.644963636363634,1.0922247933884295,2.489963636363636,0.254,-,-,91.75M,34.17M,161.59M,413.10M,8.99M,0.482,1.005,-4.57M,-,102.95M,1.35M,4.789,4.31M,4.150,-13.398,-42.863,-
Cordlife,0.495,0.410,-,30 Jun 2019,109.69M,253.30M,38.21%,-,0.45M,SGD 0.43299,SGD 0.44602,30.331426829268292,2.2199469066032123,18.305341463414635,0.857,1.951,-,-38.67M,3.56M,71.02M,214.48M,43.27M,-,2.035,-2.80M,-,72.03M,7.86M,8.090,4.15M,5.776,-,-,-
LionGold,0.001,0.001,-,30 Jun 2019,8.70M,8.70B,85.31%,-0.00,122.80M,SGD 0.00102,SGD 0.00102,1.1905,0.03075,0.312,0.616,-,-,8.60M,103.15M,21.87M,39.99M,3.76M,-47.894,5.375,-11.07M,-,70.76M,-10.58M,3.136,3.39M,3.032,-42.696,-,-
Boustead Proj,0.940,0.935,-,30 Jun 2019,299.20M,309.71M,24.31%,0.09,1.10M,SGD 0.86804,SGD 0.86264,9.596042780748661,1.2179221596270977,8.065903743315506,1.054,1.604,-,26.30M,26.80M,258.32M,435.65M,111.39M,12.314,6.362,-0.29M,-,248.22M,40.25M,19.416,30.67M,12.356,-4.698,-13.988,-
ValueMax,0.285,0.290,-,30 Jun 2019,154.71M,533.40M,17.74%,0.04,1.22M,SGD 0.28018,SGD 0.28018,7.3655593220338975,0.6916141913243321,6.562728813559322,0.802,4.586,3.716,266.54M,31.98M,421.26M,493.36M,10.20M,10.904,4.549,-0.83M,-,208.71M,23.60M,11.307,20.29M,9.977,-14.884,10.386,-
Trek 2000 Intl,0.083,0.096,-,30 Jun 2019,31.20M,322.03M,27.08%,-0.02,0.73M,SGD 0.09605,SGD 0.09605,-,-,-,0.518,10.417,-,-43.62M,-,-12.42M,49.39M,32.17M,-8.203,-,-0.02M,-,-,-3.21M,-,-,-,-17.870,-,-
Union Gas,0.245,0.260,-,30 Jun 2019,59.50M,228.86M,25.00%,0.03,2.77M,SGD 0.24532,SGD 0.23993,8.282884615384614,0.9376686390532544,6.155153846153846,2.288,3.846,-,-15.71M,-,-,37.88M,15.71M,28.028,19.665,-3.88M,-,56.36M,7.65M,13.564,6.42M,11.398,-,-,-
