names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
YZJ Shipbldg SGD,0.850,0.845 - 0.820,0.83,apr_05_2020,"3,298.48M",3.92B,-,714.84M,0.17,-,SGD 0.99999,SGD 0.99846,5.333113772455089,0.7201943418552117,4.448502994011976,0.52,6.132215568862275,3.3969461077844314,"-3,318.82M",7.238,-20.34M,"45,756.12M","21,534.46M",10.355,7.271,-580.31M,-,"4,745.91M","4,186.49M",17.741,624.50M,13.969,8.39,-2.796,"1,011.58M",Industrial Goods / Shipbuilding / 
NetLink NBN Tr,0.900,0.890 - 0.855,0.89,apr_05_2020,"3,468.30M",3.90B,-,294.22M,0.02,-,SGD 0.93019,SGD 0.92988,41.647885711363635,10.035800816838842,14.129485711363635,1.197,5.732228571136363,-,566.99M,20.943,"3,954.24M","4,281.80M",148.62M,2.494,2.034,-71.10M,-,365.61M,88.88M,27.497,85.66M,23.428,-,-,266.43M,Telecommunications Services / Integrated Telecommunications Services / 
AEM,1.670,1.660 - 1.580,1.64,apr_05_2020,448.22M,269.77M,-,204.23M,0.19,-,SGD 1.77921,SGD 1.77942,8.870955974560976,1.5300835807566926,8.00129559704878,3.293,3.266477987280488,3.2717295599085365,-105.47M,0.392,342.76M,227.96M,107.68M,47.144,28.96,-3.31M,-,323.13M,63.43M,19.631,52.76M,16.329,59.13,-,69.51M,Technology Equipment / Semiconductors / 
Jardine C&C,18.280,20.100 - 18.860,18.97,apr_05_2020,"7,497.63M",395.24M,-,10.60M,3.36,-,SGD 26.91547,SGD 26.81362,5.448354,0.2364170682263798,1.5684239999999998,0.766,5.85874,2.649686,"9,222.41M",54.144,"16,720.04M","29,072.40M","1,872.60M",13.556,7.006,"-1,076.80M",-,"26,525.78M","2,196.40M",11.814,"1,257.58M",10.626,-1.628,-0.112,"4,776.64M",Automobiles & Auto Parts / Auto & Truck Manufacturers / 
ThaiBev,0.600,0.600 - 0.570,0.58,apr_05_2020,"14,567.11M",25.12B,-,511.09M,0.04,-,SGD 0.79203,SGD 0.79129,13.741512610000001,1.2497422500000002,9.72302521,2.69,3.425546218,-,"8,136.25M",170.878,"23,137.16M","407,240.47M","24,362.48M",19.655,6.704,"-5,814.52M",-,"11,849.51M","31,708.20M",12.05,"1,063.89M",10.286,-,-,"1,781.10M",Food & Beverages / Distillers & Wineries / 
JSH USD,21.600,USD 22.350 - 20.410,USD 20.750,apr_05_2020,"22,993.79M",1.11B,-,8.01M,3.91,-,USD 28.95026,USD 28.82671,5.227783783916402,0.6664601901195215,6.17156756750568,0.643,1.6647567564561565,0.9291891896047251,"12,900.00M",32.203,"35,893.79M","94,925.00M","5,631.00M",6.503,3.983,"-1,233.00M",-,"32,665.00M","2,859.00M",8.752,"2,178.00M",11.177,1.715,5.018,"4,922.00M",Industrial Conglomerates / Industrial Conglomerates / 
HongkongLand USD,3.890,USD 3.840 - 3.720,USD 3.790,apr_05_2020,"8,845.48M",2.33B,-,57.17M,0.08,-,USD 5.1667,USD 5.13773,46.33975466666668,4.103018474666669,42.519256000000006,0.231,6.021720000000002,3.2634506666666674,"3,591.20M",11.243,"12,436.68M","45,259.20M","1,424.00M",0.517,0.448,-143.70M,-,"2,319.70M",350.60M,15.114,198.00M,8.717,4.502,-31.54,"1,218.40M",Real Estate / Real Estate Development & Operations / 
SPH,1.580,1.820 - 1.760,1.77,apr_05_2020,"2,833.15M",1.61B,-,159.16M,0.14,-,SGD 2.03223,SGD 2.03026,11.810934065056179,2.25040768052405,8.503351648595505,0.734,5.395439560078652,3.493362637752809,"1,130.61M",45.233,"4,291.99M","7,107.39M",598.17M,6.032,3.526,-25.79M,-,948.92M,186.92M,17.496,203.61M,26.417,-4.572,-11.968,287.03M,Cyclical Consumer Services / Consumer Publishing / 
ESR-REIT,0.250,0.310 - 0.285,0.3,apr_05_2020,"1,051.82M",3.51B,-,307.32M,0,-,SGD 0.45766,SGD 0.45721,164.58225803571426,2.7035639955357134,-,0.63,8.229032258035714,4.981451612499999,"1,403.14M",75.693,"2,454.96M","3,229.65M",15.66M,-0.05,0.316,-,-,253.04M,107.02M,42.291,-0.82M,3.921,-0.436,-,168.96M,Real Estate / Commercial REITs / 
STI ETF,2.405,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
