names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Oxley,0.365,0.375 - 0.370,0.370,jan_25_2020,"1,589.24M",4.23B,-,56.88M,0.03,-,SGD 0.3394,SGD 0.3394,10.407853333333332,1.8852817777777775,9.953306666666666,1.107,2.667,3.311,"3,175.91M",149.157,"4,695.07M","6,193.92M",474.41M,9.522,2.290,-50.29M,-,798.56M,274.41M,37.166,143.89M,17.818,-7.721,-12.571,291.90M,Real Estate / Real Estate Development & Operations / 
China Everbright,0.315,0.315 - 0.305,0.310,jan_25_2020,"1,813.55M",2.86B,-,33.23M,0.04,-,SGD 0.32574,SGD 0.32575,6.58,1.999,11.465,0.614,3.594,-,"1,177.09M",68.148,"2,740.88M","19,584.39M","2,253.92M",8.541,4.106,-11.18M,-,907.20M,"1,324.80M",27.277,132.60M,15.650,-,-,263.73M,Utilities / Water Utilities / 
Great Eastern,22.010,22.770 - 22.640,22.640,jan_25_2020,"10,744.34M",473.32M,-,0.39M,1.49,-,SGD 22.4235,SGD 22.4617,12.252879735682821,0.639289076054261,11.134926872246698,1.300,2.643,2.317,"-5,035.30M",5.376,"5,439.04M","85,042.00M",-,9.899,0.968,-236.90M,-,"15,808.80M",926.90M,6.532,853.70M,5.492,2.991,1.881,"1,072.40M",Insurance / Life & Health Insurance / 
VICOM,7.690,7.780 - 7.740,7.770,jan_25_2020,691.41M,88.64M,-,0.21M,0.39,-,SGD 7.42477,SGD 7.42477,19.101446015424166,6.546860748012503,15.685425449871467,5.574,4.779,4.335,-51.18M,-,587.31M,190.21M,104.10M,23.198,19.946,-26.20M,-,103.18M,39.71M,40.247,35.78M,35.124,-0.986,4.018,48.86M,Industrial & Commercial Services / Business Support Services / 
Frasers Property,1.730,1.740 - 1.720,1.720,jan_25_2020,"5,090.65M",2.93B,-,4.90M,0.19,-,SGD 1.74801,SGD 1.74791,10.95467816091954,1.3266190381820584,4.916580459770115,0.538,3.448,4.750,"13,815.92M",147.252,"18,906.57M","37,632.93M","3,579.98M",4.909,3.040,-41.67M,-,"3,791.94M",890.04M,23.472,465.09M,28.138,7.508,-4.969,"1,066.72M",Real Estate / Real Estate Development & Operations / 
SingHaiyi,0.093,0.092 - 0.090,0.090,jan_25_2020,388.22M,4.22B,-,10.36M,0.01,-,SGD 0.09264,SGD 0.09264,422.72690109890107,10.507057118705468,-,0.583,1.648,1.627,"1,416.29M",160.403,"1,430.43M","1,854.18M",124.99M,3.429,-0.876,-0.11M,-,38.59M,0.32M,-70.174,0.98M,-37.987,-5.764,-11.441,-27.67M,Real Estate / Real Estate Development & Operations / 
Koh Eco,0.056,0.053 - 0.051,0.051,jan_25_2020,93.57M,1.77B,-,67.54M,0.00,-,SGD 0.05093,SGD 0.05093,18.85509433962264,0.3226429334282662,5.286188679245283,0.920,1.813,1.012,49.49M,1.805,119.78M,250.10M,21.32M,7.311,1.847,-16.34M,-,323.39M,7.02M,1.870,4.77M,1.569,-,-,19.58M,Industrial & Commercial Services / Construction & Engineering / 
Riverstone,1.020,0.990 - 0.960,0.985,jan_25_2020,705.33M,741.08M,-,1.82M,0.06,-,SGD 0.93809,SGD 0.94148,17.138125,2.420375,12.67775,2.752,2.424,2.098,-37.16M,1.834,679.71M,872.86M,97.01M,19.333,15.103,-126.15M,-,328.97M,151.07M,15.643,43.66M,13.272,20.239,16.918,67.17M,"Healthcare Services / Medical Equipment, Supplies & Distribution / "
Tuan Sing,0.325,0.335 - 0.330,0.335,jan_25_2020,392.06M,1.19B,-,4.24M,0.11,-,SGD 0.33531,SGD 0.33533,3.14134328358209,1.2226052572956116,2.9453731343283582,0.366,1.818,1.610,"1,518.08M",68.249,"1,890.92M","2,917.39M",131.58M,12.902,4.263,-3.43M,-,301.72M,138.80M,42.054,121.31M,40.299,1.774,20.473,46.10M,Real Estate / Real Estate Development & Operations / 
Sunningdale Tech,1.290,1.330 - 1.300,1.320,jan_25_2020,253.36M,191.94M,-,4.60M,0.10,-,SGD 1.27333,SGD 1.27333,15.740931818181817,0.35050774793388434,4.832613636363637,0.681,6.061,4.804,38.18M,6.152,274.34M,714.43M,88.75M,7.963,2.221,-37.01M,-,690.63M,37.76M,3.374,15.84M,2.294,4.319,12.023,48.57M,Industrial Conglomerates / Industrial Conglomerates / 
