symbol,exchange,name,type,week52change,week52high,week52low,marketcap,employees,day200movingavg,day50movingavg,float,avg10volume,avg30volume,ttmeps,ttmdividendrate,companyname,sharesoutstanding,maxchangepercent,year5changepercent,year2changepercent,year1changepercent,ytdchangepercent,month6changepercent,month3changepercent,month1changepercent,day30changepercent,day5changepercent,nextdividenddate,dividendyield,nextearningsdate,exdividenddate,peratio,beta,primaryexchange,calculationprice,open,opentime,opensource,close,closetime,closesource,high,hightime,highsource,low,lowtime,lowsource,latestprice,latestsource,latesttime,latestupdate,latestvolume,iexrealtimeprice,iexrealtimesize,iexlastupdated,delayedprice,delayedpricetime,oddlotdelayedprice,oddlotdelayedpricetime,extendedprice,extendedchange,extendedchangepercent,extendedpricetime,previousclose,previousvolume,change,changepercent,volume,iexmarketpercent,iexvolume,avgtotalvolume,iexbidprice,iexbidsize,iexaskprice,iexasksize,iexopen,iexopentime,iexclose,iexclosetime,ytdchange,lasttradetime,isusmarketopen
CABA,NAS,Cabaletta Bio Inc.,cs,-0.23399999999999999,19.63,5.51,135003670,22,11.74,8.41,12480384,109225.3,87215.6,,,"Cabaletta Bio, Inc.",17624500,-0.234,-0.234,-0.234,-0.234,-0.448921,-0.449713,-0.49103,0.024064,0.052198,0.110145,,,,,,0.18776860464879946,NASDAQ,close,7.62,1588944601283,official,7.66,1588968000189,official,7.77,1588968014628,15 minute delayed price,7.43,1588950837780,15 minute delayed price,7.66,Close,"May 8, 2020",1588968000189,62219,,,,7.66,1588968014628,7.67,1588967984861,7.66,0,0,1588968014628,7.43,43851,0.23,0.03096,62219,,,87216,,,,,,,7.59,1588967068062,-0.42464,1588968014628,false
CAC,NAS,Camden National Corporation,cs,-0.314454,48.48,26,468832980,639,41.34,32.11,14565706,59378.8,64886.1,3.683,1.26,Camden National Corp. (Maine),14954800,0.8409,0.2377,-0.2898,-0.314454,-0.319218,-0.301003,-0.336929,-0.043624,0.072161,-0.014461,,0.04019138755980861,2020-08-04,2020-04-14,8.51,1.0186302854873686,NASDAQ,close,30.45,1588944601184,official,31.35,1588968000197,official,31.46,1588968017603,15 minute delayed price,30.01,1588944906754,15 minute delayed price,31.35,Close,"May 8, 2020",1588968000197,37121,,,,31.35,1588968017603,31.35,1588967999959,31.35,0,0,1588968017603,30.07,47563,1.28,0.04257,37121,,,64886,,,,,,,31.28,1588967199295,-0.28033,1588968017603,false
CACC,NAS,Credit Acceptance Corporation,cs,-0.32024500000000006,498.06,199,6042649410,2016,414.27,311.04,11928855,265033.8,335762.5,34.7126,,Credit Acceptance Corp.,18151000,61.3427,0.4627,0.0222,-0.320245,-0.24812,-0.233121,-0.239132,0.049626,0.166877,0.08851,,,2020-08-04,,9.59,1.105284470265986,NASDAQ,close,321.54,1588944601351,official,332.91,1588968000264,official,335.35,1588974846887,15 minute delayed price,316.2,1588945685189,15 minute delayed price,332.91,Close,"May 8, 2020",1588968000264,261986,,,,332.91,1588968368302,333.85,1588967999959,333.02,0.11,0.00033,1588974846887,314.8,220420,18.11,0.05753,261986,,,335763,,,,,,,333.15,1588967997825,-0.18957,1588968000115,false
CAKE,NAS,Cheesecake Factory Incorporated,cs,-0.529658,48.69,14.52,1020151572,46250,35.68,21.28,41958280,4106236.9,3995126.2,2.1973,1.41,"Cheesecake Factory, Inc.",45461300,0.0721,-0.5516,-0.5786,-0.529658,-0.424172,-0.470755,-0.443452,0.110891,0.386897,0.120879,,0.06283422459893047,2020-07-29,2020-03-06,10.21,1.53968896896317,NASDAQ,close,21.27,1588944601029,official,22.44,1588968000168,official,22.52,1588982187976,15 minute delayed price,20.91,1588944665035,15 minute delayed price,22.44,Close,"May 8, 2020",1588968000168,3682810,,,,22.46,1588967997769,22.45,1588967995126,22.4,-0.04,-0.00178,1588982187976,20.6,5946489,1.84,0.08932,3682810,,,3995126,,,,,,,22.48,1588967994029,-0.33877999999999997,1588968000168,false
CALA,NAS,Calithera Biosciences Inc.,cs,0.064,8.18,2.45,468451935,93,4.81,5.61,63195786,781875.5,993420.77,-1.7355,,"Calithera Biosciences, Inc.",70442700,-0.2933,-0.2627,0.0076,0.064,0.271511,1.111111,0.023077,0.0623,0.382536,-0.051355,,,2020-08-11,,-3.83,1.4004266850891367,NASDAQ,close,7.12,1588944601186,official,6.65,1588968000221,official,7.12,1588974582760,15 minute delayed price,6.55,1588944708134,15 minute delayed price,6.65,Close,"May 8, 2020",1588968000221,836696,,,,6.67,1588967995666,6.65,1588967985028,6.65,0,0,1588974582760,7.15,863452,-0.5,-0.06993,836696,,,993421,,,,,,,6.67,1588967928543,0.07467,1588968000221,false
CALB,NAS,California BanCorp,cs,-0.138831,21,9.11,134013000,133,18.24,14.03,7482531,6739,8148.33,0.6958,,California BanCorp,8122000,-0.0884,-0.0884,-0.2699,-0.138831,-0.181141,-0.129288,-0.202899,0.375,0.376147,-0.029412,,,2020-07-23,2017-08-16,23.71,0.423950286957567,NASDAQ,close,16.5,1588957114220,official,16.5,1588968000197,official,16.5,1588968000197,Close,15.01,1588967920124,15 minute delayed price,16.5,Close,"May 8, 2020",1588968000197,7411,,,,16.5,1588968000197,16.5,1588968000197,15.25,-1.25,-0.07576,1588881602999,16.5,104,0,0,7411,,,8148,,,,,11.98,1585235954267,15.775,1588788990687,-0.175,1588968000197,false
CALM,NAS,Cal-Maine Foods Inc.,cs,0.04524,46.65,30.74,2160034788,3490,40.52,39.89,30212768,325300,449280.97,-1.2765,0.272,"Cal-Maine Foods, Inc.",43893300,45.0883,0.02,-0.0602,0.04524,0.055688,0.060736,0.188639,0.119637,0.045733,0.020474,,0.0061316501352569885,2020-07-27,2019-04-30,-34.75,0.45152523936979705,NASDAQ,close,44.34,1588944600577,official,44.36,1588968000326,official,44.64,1588971876832,15 minute delayed price,43.98,1588963381239,15 minute delayed price,44.36,Close,"May 8, 2020",1588968000326,297777,,,,44.3,1588967997329,44.27,1588967996206,44.36,0,0,1588971876832,44.04,271856,0.32,0.00727,297777,,,449281,,,,,,,44.35,1588967998888,0.04417,1588967998888,false
CAMP,NAS,CalAmp Corp.,cs,-0.493782,13.85,3.7,237533844,1090,9.27,5.84,32956688,417938.8,480759.8,-2.3453,,CalAmp Corp.,34325700,0.8163,-0.6517,-0.6665,-0.493782,-0.261473,-0.348399,-0.309381,0.320611,0.426804,0.079563,,,2020-06-30,,-2.95,1.565990880215941,NASDAQ,close,6.75,1588944601388,official,6.92,1588968000425,official,6.935,1588974387368,15 minute delayed price,6.58,1588948341877,15 minute delayed price,6.92,Close,"May 8, 2020",1588968000425,399597,,,,6.92,1588967999959,6.92,1588967999959,6.92,0,0,1588974387368,6.74,315189,0.18,0.02671,399597,,,480760,,,,,,,6.915,1588967996007,-0.25769,1588967999959,false
CAMT,NAS,Camtek Ltd,cs,0.13733499999999998,14.24,6.27,432352960,322,10.16,9.25,21365739,129065.3,123597.87,0.5561,0.17,Camtek Ltd.,38672000,32.8788,2.2882,0.5149,0.137335,0,0.130435,-0.048511,0.18057,0.330952,0.106931,,0.01520572450805009,2020-05-11,2019-08-20,20.1,1.1394710506516876,NASDAQ,close,11.01,1588944600419,official,11.18,1588968000441,official,11.25,1588973590763,15 minute delayed price,10.91,1588960156235,15 minute delayed price,11.18,Close,"May 8, 2020",1588968000441,88440,,,,11.16,1588967999525,11.14,1588967999959,11.2,0.02,0.00179,1588973590763,10.83,141707,0.35,0.03232,88440,,,123598,,,,,,,11.145,1588967969016,0.02612,1588968000441,false
CAPR,NAS,Capricor Therapeutics Inc.,cs,0.6866030000000001,11.08,0.88,62804996,16,2.27,2.33,8735827,27742567.7,10791674.47,-2.125,,"Capricor Therapeutics, Inc.",8908510,-0.9987,-0.885,-0.4778,0.686643,4.731707,2.294393,3.93007,3.325153,4.465116,-0.032922,,,2020-05-18,,-3.32,1.7051935309297703,NASDAQ,close,7.14,1588944601262,official,7.05,1588968000660,official,7.18,1588982392153,15 minute delayed price,6.85,1588945072790,15 minute delayed price,7.05,Close,"May 8, 2020",1588968000660,1063559,,,,7.05,1588968000660,7.06,1588967996506,7.04,-0.01,-0.00142,1588982392153,7.06,2598762,-0.01,-0.00142,1063559,,,10791674,,,,,,,7.04,1588967775628,4.421679999999999,1588968000660,false
