code,com_name,price,turnover,market_cap,pe,dividend,yearhigh,yearlow,date_update,day_priceinc,day_perceninc,downside,upside
1302,LIFETECH SCI,1.86,23950000.0,8029999999.999999,54.55,0.0,2.02,1.86,20/04/2020,0.01,0.54,0.0,0.09
1282,GLORY SUN FIN,0.285,23760000.0,8480000000.0,11.18,0.0,0.43,0.285,20/04/2020,0.005,1.79,0.0,0.51
799,IGG,4.9,23700000.0,6090000000.0,4.76,26.54,10.76,4.9,20/04/2020,0.12,2.51,0.0,1.2
189,DONGYUE GROUP,3.43,23610000.0,7240000000.0,4.49,26.54,7.2,3.43,20/04/2020,0.11,3.31,0.0,1.1
69,SHANGRI-LA ASIA,6.09,23410000.0,21830000000.0,18.28,26.54,11.34,6.09,20/04/2020,0.04,0.66,0.0,0.86
3680,SUOXINDA,1.81,23310000.0,724000000.0,123.13,0.0,2.65,1.81,20/04/2020,-0.03,-1.63,0.0,0.46
3339,LONKING,2.7,23110000.0,11550000000.0,6.45,26.54,2.97,2.7,20/04/2020,0.02,0.75,0.0,0.1
6099,CMSC,8.51,23050000.0,8340000000.0,8.0,0.0,12.02,8.51,20/04/2020,0.04,0.47,0.0,0.41
1958,BAIC MOTOR,3.3,23020000.0,8310000000.000001,6.06,26.54,6.48,3.3,20/04/2020,0.01,0.3,0.0,0.96
3618,CQRC BANK,3.17,22870000.0,7960000000.0,3.06,26.54,4.89,3.17,20/04/2020,0.0,0.0,0.0,0.54
945,MANULIFE-S,102.0,22770000.0,197820000000.0,6.3,26.54,164.8,102.0,20/04/2020,0.4,0.39,0.0,0.62
1448,FU SHOU YUAN,7.08,22710000.0,16070000000.0,24.72,26.54,7.75,7.08,20/04/2020,0.04,0.57,0.0,0.09
9938,WAH WO HOLDINGS,0.365,22620000.0,365000000.0,0.0,0.0,2.79,0.365,20/04/2020,-0.02,-5.19,0.0,6.64
659,NWS HOLDINGS,8.1,22300000.0,31680000000.0,7.82,26.54,17.0,8.1,20/04/2020,-0.04,-0.49,0.0,1.1
152,SHENZHEN INT'L,14.72,22230000.0,31820000000.0,6.28,26.54,18.6,14.72,20/04/2020,0.12,0.82,0.0,0.26
1890,CHINA KEPEI,4.46,22220000.0,8920000000.0,17.55,26.54,4.87,4.46,20/04/2020,0.0,0.0,0.0,0.09
91,GOLDEN CEN INTL,0.26,22010000.0,190840000.0,0.0,0.0,0.38,0.26,20/04/2020,-0.005,-1.89,0.0,0.46
1919,COSCO SHIP HOLD,2.13,21980000.0,5490000000.0,3.52,0.0,3.89,2.13,20/04/2020,0.01,0.47,0.0,0.83
2233,WESTCHINACEMENT,1.36,21740000.0,7390000000.0,3.76,26.54,1.5,1.36,20/04/2020,0.04,3.03,0.0,0.1
1999,MAN WAH HLDGS,4.18,21660000.0,15860000000.0,11.73,26.54,6.7,4.18,20/04/2020,0.01,0.24,0.0,0.6
1131,AGRITRADE RES,0.169,21530000.0,1070000000.0000001,1.02,26.54,1.88,0.169,20/04/2020,-0.001,-0.59,0.0,10.12
