symbol,company,price,change,percen_change,volume,market_cap,sector,industry,pe_ratio,forward_pe,one_yr_tar,eps,day_high_low,div,yield,ex_div_date,div_pay_date,fifty_day_vol,year_high_low,beta
IPGP,IPG Photonics Corporation Common Stock,$120.90,+4.56,3.92%,"314,659","6,424,889,683",Technology,Semiconductors,36.09,48.68,$162.40,$3.35,$121.51/$115.88,N/A,N/A,N/A,N/A,"550,474",$181.86/$98.04,1
LNVGY,Lenovo Group Ltd ADR (Sponsored),$10.69,-0.27,2.46%,"13,141",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$10.70/$10.50,N/A,N/A,N/A,N/A,0,N/A,
GLIBA,"GCI Liberty, Inc. Class A Common Stock (DE)",$60.64,-0.17,0.28%,"649,395","6,416,242,479",Public Utilities,Telecommunications Equipment,3.31,-71.54,$73.00,$18.31,$61.97/$60.13,N/A,N/A,N/A,N/A,"762,828",$79.06/$26.51,1
AZPN,"Aspen Technology, Inc. Common Stock",$94.45,-1.38,1.44%,"416,865","6,414,273,760",Technology,EDP Services,26.24,31.01,$136.00,$3.60,$96.59/$93.29,N/A,N/A,N/A,N/A,"752,548",$142.89/$73.07,1
POST,"Post Holdings, Inc. Common Stock",$91.71,+0.80,0.88%,"291,743","6,411,144,466",Consumer Non-Durables,Packaged Foods,68.95,22.84,$113.50,$1.33,$92.31/$90.37,N/A,N/A,N/A,N/A,,$113.73/$68.97,1
AKCPF,akcpf,--,--,--,--,,,,,,,,,,,,,,,
DITTF,Daito Trust Construction Co. Ltd.,$93.9734,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
STGPF,Scentre Group,$1.233,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
LNVGF,Lenovo Group Ltd,$0.5294,-0.0306,5.46%,"37,397",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$0.55/$0.53,N/A,N/A,N/A,N/A,0,N/A,
COGQF,Chongqing Rural Commercial Bank Co Ltd - Ordinary Shares - Class H,$0.56,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$27.44,-0.06,0.22%,"2,633,811","6,356,582,138",Consumer Services,Broadcasting,,-28.95,$39.50,$-1.34,$27.94/$26.73,N/A,N/A,N/A,N/A,"2,479,029",$48.95/$18.31,1
CNICF,China International Capital Corp,$1.45,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$33.29,-0.23,0.69%,"3,272,863","6,330,288,679",Health Care,Major Pharmaceuticals,12.28,19.15,$44.50,$2.71,$34.00/$33.05,N/A,N/A,N/A,N/A,"1,957,745",$39.10/$22.69,1
NESRF,Northern Star Res Ltd,$8.545,-0.055,0.64%,"14,544",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$8.62/$8.47,N/A,N/A,N/A,N/A,0,N/A,
MTUAY,MTU Aero Engines AG ADR,$59.54,-0.12,0.2%,"5,953",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$59.61/$58.33,N/A,N/A,N/A,N/A,0,N/A,
UAL,"United Airlines Holdings, Inc. Common Stock",$25.56,-0.16,0.62%,"34,822,257","6,319,885,214",Transportation,Air Freight/Delivery Services,2.2,-1.59,$54.00,$11.63,$26.15/$24.67,N/A,N/A,N/A,N/A,"23,174,229",$96.03/$17.80,1
USVR,usvr,--,--,--,--,,,,,,,,,,,,,,,
SNA,Snap-On Incorporated Common Stock,$116.07,+2.40,2.11%,"766,623","6,308,896,637",Capital Goods,Industrial Machinery/Components,9.88,12.09,$135.00,$11.75,$117.43/$114.02,$4.32,3.8%,"Feb 21, 2020","Mar 10, 2020",,$172.61/$90.72,1
HUBS,"HubSpot, Inc. Common Stock",$145.35,+5.57,3.98%,"473,946","6,291,883,474",Technology,Computer Software: Prepackaged Software,,-115.52,$172.50,$-1.27,$147.42/$139.86,N/A,N/A,N/A,N/A,,$207.98/$90.83,1
